NP_ID	Noun	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF
KS00001	śempər	śempər	щемпэр	n	n	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1
KS00002	kew	śempər kew	щемпэр камень	n	n	p	0	n	n	nul	nul	nul	0	s	non	nul	1	1
KS00101	xǫ	i xǫ	мужчина	i	sbj	s	0	n	n	nul	nul	i	0	s	hum	sbj	0	1
KS00102	jiwewe -ł -na	jiwewe -ł -na	сводная сестра 3SG LOC	i	sbj	s	1	3s	fam	loc	nul	nul	0	s	hum	iob	1	1
KS00201	xătł -a	i xătł -a	день DAT	p	sbj	s	0	n	n	dat	nul	i	0	s	non	iob	0	1
KS00202	ałəŋ -a	ałəŋ -a	утро DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1
KS00203	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS00301	xăr -a	xăr -a	поле DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
KS00401	łaŋki	łaŋki	белка	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	0	1
KS00402	ńoxəs	ńoxəs	соболь	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	0	1
KS00501	ox -ł -ən sԑm -ł -ən	ox -ł -ən sԑm -ł -ən	голова 3SG 2/3DU глаз 3SG 2/3DU	p	sbj	s	1	2/3d	bod	nul	nul	nul	0	s	non	obj	1	1
KS00502	ox -ł -ən	ox -ł -ən	голова 3SG 2/3DU	p	sbj	s	i	2/3d	bod	nul	nul	nul	0	s	non	obj	1	1
KS00503	sԑm -ł -ən	sԑm -ł -ən	глаз 3SG 2/3DU	p	sbj	s	i	2/3d	bod	nul	nul	nul	0	s	non	obj	1	1
KS00601	ałəŋ -a	ałəŋ -a	утро DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1
KS00701	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS00702	xăr -a	xăr -a	поле DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
KS00801	ńoxəs	ńoxəs	соболь	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	0	1
KS00802	łaŋki	łaŋki	белка	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	0	1
KS00901	jetn -a	jetn -a	вечер DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1
KS00902	ox -ł -ən sԑm -ł -ən	ox -ł -ən sԑm -ł -ən	голова 3SG 2/3DU глаз 3SG 2/3DU	p	sbj	s	1	2/3d	bod	nul	nul	nul	0	s	non	obj	1	1
KS00903	ox -ł -ən	ox -ł -ən	голова 3SG 2/3DU	p	sbj	s	i	2/3d	bod	nul	nul	nul	0	s	non	obj	1	1
KS00904	sԑm -ł -ən	sԑm -ł -ən	голова 3SG 2/3DU глаз 3SG 2/3DU	p	sbj	s	i	2/3d	bod	nul	nul	nul	0	s	non	obj	1	1
KS01001	xătł -a	i xătł -a	один день DAT	p	sbj	s	0	n	n	dat	nul	i	0	s	non	iob	0	1
KS01101	jiwpox -əł	jiwpox -əł	сводный брат DAT	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS01102	xăr -a	xăr -a	место DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
KS01103	jiwewe -ł	jiwewe -ł	сводная сестра 3SG	i	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS01104	xǫ	i xǫ	один мужчина	p	sbj	s	0	n	n	nul	nul	i	0	s	hum	sbj	0	1
KS01201	wuśa	wuśa	приветствие	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0
KS01301	ox -ԑm	ma ox -ԑm	я голова 1SG	p	obj	s	1	1s	bod	nul	nul	nul	1	s	non	obj	1	1
KS01401	nԑŋ -əł -ən	i nԑŋ -əł -ən	один женщина 3SG LOC	p	sbj	s	1	3s	dis	loc	nul	i	0	s	hum	iob	1	1
KS01402	ox -əł	ox -əł	голова 3SG	p	sbj	s	1	3s	bod	nul	nul	nul	0	s	non	sbj	1	1
KS01501	nԑŋ -əł	i nԑŋ -əł	один женщина 3SG	i	obj	s	1	3s	dis	nul	nul	i	0	s	hum	sbj	1	1
KS01601	jiwpox -ԑm	jiwpox -ԑm	сводный брат 1SG	p	sbj	s	1	1s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS01701	xǫ -j -əł	i xǫ -j -əł	один мужчина STEM 3SG	p	sbj	s	1	3s	dis	nul	nul	i	0	s	hum	sbj	1	1
KS01702	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS01801	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS01901	xɔt -en	xɔt -en	дом 2SG	i	sbj	s	1	2s	own	nul	nul	nul	0	s	non	sbj	1	1
KS02001	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS02101	ałəŋ -a	ałəŋ -a	утро DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1
KS02102	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS02103	xăr -a	xăr -a	поле DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
KS02201	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS02202	xăr -a	xăr -a	поле DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
KS02203	xǫ -j -əł	iśi xǫ -j -əł	тот же мужчина 3SG	p	sbj	s	1	3s	dis	nul	nul	isi	0	s	hum	sbj	1	1
KS02301	nԑŋ -əł	nԑŋ -əł	женщина 3SG	p	sbj	s	1	3s	dis	psp	nul	nul	0	s	hum	pob	1	1
KS02401	ox -ԑm	ox -ԑm	голова 1SG	p	obj	s	1	1s	bod	nul	nul	nul	0	s	non	obj	1	1
KS02501	nԑŋ -əł -ən	i nԑŋ -əł -ən	один женщина 3SG LOC	p	sbj	s	1	3s	dis	loc	nul	i	0	s	hum	iob	1	1
KS02502	ox -əł	ox -əł	голова 3SG	p	sbj	s	1	3s	bod	nul	nul	nul	0	s	hum	sbj	1	1
KS02601	nԑŋ -əł	i nԑŋ -əł	один женщина 3SG	p	sbj	s	1	3s	dis	nul	nul	i	0	s	hum	sbj	1	1
KS02801	jiwpox -ԑm	jiwpox -ԑm	сводный брат 1SG	p	sbj	s	1	1s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS02901	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS03001	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS03201	ałəŋ -a	ałəŋ -a	утро DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1
KS03202	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	non	sbj	1	1
KS03203	xăr -a	xăr -a	поле DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
KS03301	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS03302	xăr -a	xăr -a	поле DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
KS03303	xǫ -j -əł	iśi xǫ -j -əł	тот же мужчина 3SG	p	sbj	s	1	3s	dis	nul	nul	isi	0	s	hum	sbj	1	1
KS03401	nԑŋ -əł	i nԑŋ -əł	один женщина 3SG	p	sbj	s	1	3s	dis	psp	nul	nul	0	s	hum	pob	1	1
KS03601	ox -ԑm	ox -ԑm	голова 1SG	p	obj	s	1	1s	bod	nul	nul	nul	0	s	non	obj	1	1
KS03701	ox -əł	ox -əł	голова 3SG	p	sbj	s	1	3s	bod	nul	nul	nul	0	s	non	sbj	1	1
KS03702	nԑŋ -əł	i nԑŋ -əł	один женщина 3SG	p	sbj	s	1	3s	dis	nul	nul	i	0	s	hum	sbj	1	1
KS03901	jiwpox -ԑm	jiwpox -ԑm	сводный брат 1SG	p	sbj	s	1	1s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS04001	xǫ -j -əł	i xǫ -j -əł	один мужчина STEM 3SG	p	sbj	s	1	3s	dis	nul	nul	nul	0	s	hum	sbj	1	1
KS04101	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS04201	jiwpox -əł	jiwpox -əł	сводный брат 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS04202	wԑŋ -əł	wԑŋ -əł	зять 3SG	p	sbj	s	1	3s	fam	psp	nul	nul	0	s	hum	pob	1	1
KS04203	wuśa	wuśa	приветствие	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0
KS04301	wԑŋ -əł	wԑŋ -əł	зять 3SG	p	sbj	s	1	3s	fam	psp	nul	nul	0	s	hum	pob	1	1
KS04302	wuśa	wuśa	приветствие	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0
KS04303	up -əł	up -əł	тесть 3SG	i	sbj	s	1	3s	fam	psp	nul	nul	0	s	hum	pob	1	1
KS04401	jiwewe -n	jiwewe -n	сводная сестра 2SG	p	obj	s	1	2s	fam	nul	nul	nul	0	s	hum	obj	1	1
KS04501	jiwpox -əł	jiwpox -əł	сводный брат 3SG	i	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS04601	xoti	xoti	что			q	0	n	n			nul	0	s	non	sbj	0	0
KS04701	kaš -əł	łuw kaš -əł	он желание 3SG	i	sbj	s	1	3s	oth	nul	nul	nul	1	s	non	sbj	0	0
KS04901	xǫ -j -əł -ən	i xǫ -j -əł -ən	один мужчина STEM 3SG LOC	p	sbj	s	1	3s	dis	loc	nul	i	0	s	hum	iob	1	1
KS04902	śԑp -a	śԑp -a	карман DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1
KS05101	kǫrt -əł -a	łuw kǫrt -əł -a	он деревня 3SG DAT	p	sbj	s	1	3s	oth	dat	nul	nul	1	s	non	iob	1	1
KS05102	wɔš -əł -a	łuw wɔš -əł -a	он город 3SG DAT	p	sbj	s	1	3s	oth	dat	nul	nul	1	s	non	iob	1	1
KS05103	xɔt -əł -a	xɔt -əł -a	дом 3SG DAT	p	sbj	s	1	3s	own	dat	nul	nul	0	s	non	iob	1	1
KS05104	śԑp	śԑp	карман	p	obj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
KS05105	ime -ł	ime -ł	жена 3SG	p	obj	s	1	3s	fam	nul	nul	nul	0	s	hum	obj	1	1
KS05106	xɔt xăr -a	xɔt xăr -a	пол DAT	p	obj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
KS05201	nԑ	łowatte -ŋ nԑ	величина ATTR женщина	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS05202	nԑ	păłatte -ŋ nԑ	рост ATTR женщина	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
KS05203	păłatte -ł -ən	păłatte -ŋ nԑ păłatte -ł -ən	рост ATTR женщина рост 3SG LOC	p	sbj	s	1	3s	oth	loc	nul	nul	0	s	non	iob	0	0
KS05301	ime -ł	ime -ł	жена 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
KS05302	pox -lԑ	pox -lԑ	сын DIM	p	sbj	s	0	n	n	nul	dim	nul	0	s	hum	obj	0	1
KS05401	pox -leŋke -ł	pox -leŋke -ł	сын DIM 3SG	i	sbj	s	1	3s	fam	nul	dim	nul	0	s	hum	sbj	1	1
KS05402	xătəł	xătəł	солнце	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
