NP_ID	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF		
DE00001	kǫrt -ən	деревня LOC	p	n	s	0	n	n	loc	nul	nul	0	s	non	iob	0	1	ок	
DE00002	ńawrԑm -əŋ	ребенок ATTR	p	n	s	0	n	n	nul	atr	nul	0	s	hum	attr	0	0	ок	Мб, я неправ про реф. статус.
DE00003	ńawrԑm -əŋ imi	ребенок ATTR женщина	p	n	s	0	n	n	nul	atr	nul	0	s	hum	sbj	1	1	ок	
DE00101	jis potər	древний разговор	n	n	s	0	n	n	nul	nul	nul	0	s	non	??	1	1	ок	Заголовок
DE00201	pora -j -n	время STEM LOC	i	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	0	1	ок	Реф статус правильный?
DE00202	jis potər	древний разговор	i	sbj	s	0	n	n	nul	nul	simas	0	s	non	sbj	0	1	ок	Надо перепроверить
DE00301	katra šǫk -əŋ	старый беда ATTR	p	n	s	0	n	n	nul	atr	nul	0	s	non	attr	0	0	ок	
DE00302	katra šǫk -əŋ jis pora -j -n	старый беда ATTR древний время STEM LOC	p	n	s	0	n	n	loc	nul	nul	0	s	non	iob	0	1	ок	
DE00303	śi wԑr	этот дело	p	n	s	0	n	n	nul	nul	si	0	s	non	sbj	1	1	ок	Перепроверить!
DE00401	mołti arat	какой-то количество	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm		1	1		
DE00402	mołti arat łuw kǫt	какой-то количество он год	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	0	1	ок	Не уверен про вид.
DE00403	kǫt	год	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	1	ок	??
DE00404	kǫt	год	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	gen	0	1	ок	??
DE00405	śiməś jis potr -ət	такой древний разговор PL	i	sbj	s	0	n	n	nul	nul	simas	0	p	non	sbj	1	1	ок	??
DE00406	păłtap -əŋ	страх ATTR	i	sbj	s	0	n	n	nul	atr	nul	0	s	non	attr	0	0	ок	
DE00407	păłtap -əŋ jis pora -j -n	страх ATTR древний время STEM LOC	i	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	0	1	ок	Не уверен про реф статус
DE00408	wǫnt -n	лес LOC	i	n	s	0	n	n	loc	nul	nul	0	s	non	iob	0	0	ок	не уверен про статус
DE00409	wǫnt	лес	i	n	s	0	n	n	nul	nul	nul	0	s	non	attr	0	0	ок	
DE00410	wǫnt ot -ət	лес вещь PL	i	n	s	0	n	n	nul	nul	nul	0	p	anm	sbj	0	1	ок	не уверен про реф статус
DE00411	pora -j -n	время STEM LOC	i	sbj	s	0	n	n	loc	nul	nul	0	s	anm	iob	0	1	ок	тоже не уверен
DE00501	śiməś jis potər	такой древний разговор	p	sbj	s	0	n	n	nul	nul	simas	0	s	non	obj	1	1	ок	Тут вроде детерминер, но при этом вводится в дискурс новое.
