NP_ID	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF		
ZV00001	łɔn	жила	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0	ок	
ZV00002	imi	женщина	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	0	1	ок	
ZV00101	imԑ -ŋən	жена DU	i	sbj	s	0	n	n	nul	nul	nul	0	d	hum	sbj	0	1	ок	
ZV00102	imԑ -ŋən ikԑ -ŋən	жена DU муж DU	i	sbj	s	0	n	n	nul	nul	nul	0	d	hum	sbj	0	1	ок	Хотя мб муж уже определён на этот момент по бриджингу.
ZV00103	meń	невестка	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	0	1	ок	
ZV00201	meń -əł	невестка 3SG	i	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1		
ZV00202	jetn -a	вечер DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	anm		1	1		
ZV00203	pun	шерсть	i	n	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0	ок	Тоже близко к СГ
ZV00301	wǫntəp	свекровь	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	app	1	1	ок	
ZV00302	wǫntəp ime -ł -ən	свекровь женщина 3SG LOC	i	sbj	s	1	3s	fam	loc	nul	nul	0	s	hum	iob	1	1	ок	Пассив; значение посессива "прагматически" вывел (хоть тут "жещина", "в сумме" имеется в виду свекровь -- родственник).
ZV00401	pun	шерсть	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0	ок	Императив
ZV00402	wǫntəp	свекровь	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	app	1	1	ок	
ZV00403	wǫntəp ime -ł	свекровь женщина 3SG	i	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1	ок	
ZV00501	jasəŋ -a	слово DAT	i	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1	ок	Тут сложно, слова вроде референциальны, но мб они слишком mass
ZV00601	pun	шерсть	i	n	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0	ок	Парсер предположил, что śi относится к шерсти, но мне кажется, что нет.
ZV00602	imi	женщина	p	sbj	s	0	n	n	nul	nul	śi	0	s	hum	sbj	1	1	ок	Я предположил, что śi относится сюда.
ZV00603	amp	собака	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	attr	0	0	ок	Не уверен про синтаксис
ZV00604	amp šăš	собака спина	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	attr	0	0	ок	
ZV00605	amp šăš łɔn	собака спина жила	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	1	1	ок	
ZV00701	łǫjəŋ	подруга	n	n	s	0	n	n	nul	nul	nul	0	s	hum	n	1	1	ок	
ZV00702	măta nԑŋ -ԑmən	который женщина 1DU	p	sbj	s	1	1d	dis	nul	nul	nul	0	s	hum	sbj	0	0	ок	Релятивная, поэтому мб нереф. Надо посмотреть.
ZV00801	aj meń	маленький невестка	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1	ок	
ZV00901	pun	шерсть	i	n	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0	ок	Тоже почти как СГ
ZV00902	imi	женщина	p	obj	s	0	n	n	nul	nul	nul	0	s	hum	subj	1	1	ок	
ZV00903	iśi kurəm -ən	тот же шаг LOC	p	obj	s	0	n	n	loc	nul	isi	0	s	non	iob	1	1	ок	Возможно, неправильный реф. статус.
ZV00904	amp	собака	p	obj	s	0	n	n	nul	nul	nul	0	s	anm	attr	0	0	ок	
ZV00905	amp šăš	собака спина	p	obj	s	0	n	n	nul	nul	nul	0	s	non	attr	0	0	ок	
ZV00906	amp šăš łɔn	собака спина жила	p	obj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	1	ок	Неуверен про неопределённость.
ZV00907	kukər tԑł łɔn	берестяной кузов, полный жил	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	1	ок	
ZV00908	łɔn	жила	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	psp	0	1	ок	На всякий случай перепроверьте
ZV00909	sɔrńe -ŋ	золото ATTR	p	sbj	s	0	n	n	attr	pst	nul	0	s	non	attr	0	0	ок	
ZV00910	sɔrńe -ŋ aj an	золото ATTR маленький чашка	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	1	0	ок	
ZV01001	pun	шерсть	i	n	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0	ок	Мб тут референтное
ZV01002	pun wԑrti imi	шерсть делать IPFV.PART женщина	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	gen	1	1	ок	Генитивное зависимое
ZV01003	pun wԑrti imi xɔt	шерсть делать IPFV.PART женщина дом	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1	ок	Определённость по бриджингу
ZV01004	wurkəm	Вуркум	i	sbj	p	0	n	n	nul	nul	nul	0	s	non	gen	1	1	ок	
ZV01005	wurkəm pa pԑlək -ən	Вуркум другой сторона LOC	i	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	1	1	ок	Перепроверьте референциальный статус.
ZV01101	meń	невестка	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1	ок	
ZV01102	łɔn	жила	i	n	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0	ок	Тоже СГ.
ZV01103	łɔn wԑr -ti ime -n	жила делать IPFV.PART женщина 2SG	p	obj	s	1	2s	dis	nul	nul	nul		s	hum	gen	1	1	ок	
ZV01104	ime -n xɔt	женщина 2SG дом	p	obj	s	0	n	n	nul	nul	nul	1	s	non	gen	1	1	ок	
ZV01105	ime -n xɔt ɔw -əł	женщина 2SG дом дверь 3SG	p	obj	s	1	3s	prt	nul	nul	nul	1	s	non	??	1	1	ок	Какой синтаксис?
ZV01106	tut -en	огонь 2SG	p	obj	s	1	2s	dis	nul	nul	nul	0	s	non	obj	0	1	ок	Мб не тот реф. статус.
ZV01301	xɔt -en	дом 2SG	p	n	s	1	2s	own	nul	nul	nul	0	s	non	sbj	1	1	ок	Возможно, это дискурсивный посессив, но по семантике обладания тоже хорошо сходится.
ZV01302	tut -ən	огонь LOC	p	n	s	0	n	n	loc	nul	nul	0	s	non	iob	0	1	ок	Возможно, нереф.
ZV01303	aj ot -ł -an -ən	маленький вещь PL 2SG LOC	p	n	s	1	2s	own	loc	nul	nul	0	p	hum	iob	1	1	ок	Имеются в виду дети? И дети женщины по жилам?
ZV01401	in imi	этот женщина	p	sbj	s	0	n	n	nul	nul	in	0	s	hum	sbj	1	1	ок	
ZV01501	aj meń	маленький невестка	p	obj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1	ок	
ZV01502	mir -əł	народ 3SG	p	obj	s	1	3s	oth	nul	nul	nul	0	s	hum	gen	1	1	ок	Возможно, посессив по родственникам.
ZV01503	aj meń mir -əł wԑnš -ət	народ 3SG лицо PL	p	obj	s	0	n	n	nul	nul	nul	1	p	non	obj	1	1	ок	Лица определены благодаря домочадцам.
ZV01504	woj -ən	жир LOC	p	obj	s	0	n	n	loc	nul	nul	0	s	non	iob	0	1	ок	Возможно, нереф.
ZV01505	łuw wԑnš -əł	он лицо 3SG	p	n	s	1	3s	bod	nul	nul	luw	0	s	non	obj	1	1	ок	Прописал демонстративом λuw.
ZV01506	sɔrńe -ŋ	золото ATTR	p	obj	s	0	n	n	nul	atr	nul	0	s	non	attr	0	0	ок	
