NP_ID	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF
SG00101	šɔwər	заяц	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
SG00102	šɔwər ime -ł	заяц жена 3SG	i	sbj	s	1	3s	fam	psp	nul	nul	1	s	anm	pob	1	1
SG00201	łԑtot	еда	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0
SG00202	ot	вещь	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	0	0
SG00301	ńawrԑm	ребенок	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	0	1
SG00401	xătəł	день	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	iob	0	0
SG00402	pa xojat	другой человек	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	gen	0	1
SG00403	pa xojat ńawrԑm -ət	другой человек ребенок PL	i	sbj	s	0	n	n	nul	nul	nul	1	p	anm	obj	0	1
SG00404	xɔt -ən -a	дом 2/3DU DAT	i	sbj	s	1	2/3d	n	dat	nul	nul	0	s	non	iob	1	1
SG00405	ԑpł -əŋ łԑtot -ən	вкус ATTR еда LOC	i	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	0	1
SG00501	păstek imi	рябчик женщина	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	1	1
SG00502	păstek imi xiłi -ł -ał	рябчик женщина внук PL 3SG	p	sbj	s	1	3s	fam	psp	nul	nul	1	p	anm	pob	1	1
SG00601	păstek imi	рябчик женщина	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
SG00602	šɔwər	заяц	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
SG00603	šɔwər šɔwər ime -ł	заяц заяц жена 3SG	i	sbj	s	1	3s	n	psp	nul	nul	1	s	anm	pob	1	1
SG00604	pa xojat	другой человек	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	gen	0	1
SG00605	pa xojat pošx -ət	другой человек детеныш PL	i	sbj	s	0	n	n	nul	nul	nul	1	p	anm	obj	1	1
SG00701	šɔwər	заяц	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	nul	1	1
SG00702	šɔwər imi	заяц женщина	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	nul	1	1
SG00703	pox	сын	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	1	1
SG00801	šɔwər	заяц	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	pob	1	1
SG00802	šɔwər imi	заяц женщина	p	sbj	s	0	n	n	psp	nul	nul	0	s	anm	pob	1	1
SG00803	aj šɔwr -ije łɔśsԑm	маленький заяц DIM снежинка	p	sbj	s	0	n	n	nul	dim	nul	0	s	anm	sbj	1	1
SG00804	sԑm -a	глаз DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	anm	iob	0	0
SG00901	aŋkԑ -ŋən	мать DU	p	sbj	s	0	n	n	nul	nul	nul	0	d	anm	sbj	1	1
SG00902	aśԑ -ŋən	отец DU	p	sbj	s	0	n	n	nul	nul	nul	0	d	anm	sbj	1	1
SG00903	aŋki	мать	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
SG00904	pox -ije -ł	сын DIM 3SG	i	sbj	s	1	3s	fam	psp	dim	nul	0	s	anm	pob	1	1
SG00905	at -ł -ət -ən	ночь 3SG PL LOC	i	sbj	s	1	3s	dis	loc	nul	nul	0	p	non	iob	0	0
SG00906	ɔntəp	люлька	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	1	1
SG01001	pox -ije	сын DIM	i	sbj	s	0	n	n	nul	dim	nul	0	s	anm	sbj	1	1
SG01002	wǫnt wɔj -ət -ən	лес зверь PL LOC	p	sbj	s	0	n	n	loc	nul	nul	0	p	anm	iob	0	1
SG01003	kur -ən	нога LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	0	1
SG01004	mԑlək muw	теплый земля	p	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	0	0
SG01005	toxł -əŋ wɔj -ət -ən	крыло ATTR зверь PL LOC	p	sbj	s	0	n	n	loc	nul	nul	0	p	anm	iob	0	1
SG01006	ńałəm -ən	язык LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	anm	iob	0	1
SG01101	šǫk	беда	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	0	0
SG01102	pox -ije	сын DIM	i	sbj	s	0	n	n	nul	dim	nul	0	s	anm	sbj	1	1
SG01301	ot	вещь	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	1
SG01302	jɔš -ən	рука LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	1	1
SG01501	aŋki	мать	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
SG01502	pox -ije -ł	сын DIM 3SG	i	sbj	s	1	3s	fam	nul	dim	nul	0	s	anm	obj	1	1
SG01503	aśi	отец	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
SG01504	wǫnt	лес	i	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	0	1
SG01505	ԑpł -əŋ lipt -ije -t	вкус ATTR лист DIM PL	i	sbj	s	0	n	n	nul	dim	nul	0	p	non	obj	0	1
SG01601	wǫnt	лес	i	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
