NP_ID	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF
HUJ00001	xojtoŋkistan	Хуйтункистан	n	n	s	0	n	n	nul	nul	nul	0	s	non	nul	1	1
HUJ00102	jux -łi ńǫrəm	дерево CAR болото	i	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	0	1
HUJ00104	pǫm -łi ńǫrəm	трава CAR болото	i	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	1	1
HUJ00105	xojtoŋkistan	Хуйтункистан	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1
HUJ00106	xojtoŋkistan iki	Хуйтункистан мужчина	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1
HUJ00201	ox -ł -əŋ	голова 3SG ATTR	p	sbj	s	1	3s	dis	nul	atr	nul	0	s	non	atr	0	1
HUJ00202	ox -ł -əŋ xɔt -ən	голова 3SG ATTR дом LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	non	iob	1	1
HUJ00301	łapətjaŋ puš	семьдесят раз	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	iob	0	0
HUJ00302	ńuki	шкура	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1
HUJ00303	xɔt	дом	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	1	1
HUJ00401	jiŋk wɔj	вода зверь	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	atr	0	0
HUJ00402	jiŋk wɔj pɔrxa -j -əŋ pox	вода зверь мужская верхняя одежда STEM ATTR сын	i	sbj	s	0	n	n	nul	nul	nul	0	s	hum	obj	0	1
HUJ00403	łapət ńar xɔpti	семь белый олень-бык	i	sbj	s	0	n	n	nul	nul	nul	0	nu	anm	obj	0	1
HUJ00404	muw xɔr	земля бык	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	gen	0	0
HUJ00405	muw xɔr ɔŋət	земля бык кость мамонта	i	sbj	s	0	n	n	nul	nul	nul	1	s	anm	atr	0	0
HUJ00406	muw xɔr ɔŋət ɔłʼ -əp ǫxəł	земля бык кость мамонта полозья ATTR нарта	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	1
HUJ00501	ǫxəł	нарта	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
HUJ00502	ǫxəł kur -ł -ał	нарта ножка PL 3SG	i	sbj	s	1	3s	bod	nul	nul	nul	1	p	non	sbj	1	1
HUJ00503	muw xɔr	земля бык	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	gen	0	0
HUJ00504	muw xɔr ɔŋət	земля бык кость мамонта	i	sbj	s	0	n	n	nul	nul	nul	1	s	non	prd	0	0
HUJ00601	in ike -n	этот мужчина 2SG	i	sbj	s	1	2s	dis	nul	nul	in	0	s	hum	sbj	1	1
HUJ00602	jaŋ łaraś	десять сундук	i	sbj	s	0	n	n	nul	nul	nul	0	nu	non	obj	0	1
HUJ00701	jiŋk wɔj	вода зверь	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	atr	0	0
HUJ00702	jiŋk wɔj pɔrxa -j -əŋ pox -əł	вода зверь мужская верхняя одежда STEM ATTR сын 3SG	i	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
HUJ00703	xătəł	день	i	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	0	0
HUJ00704	piti woxsar	черный лиса	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	0	0
HUJ00705	ńoxəs	соболь	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	obj	0	0
HUJ00801	i xătəł	один день	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	iob	0	0
HUJ00901	păłəŋ	туча	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
HUJ00902	păłəŋ piti kiməł	туча черный край	i	sbj	s	0	n	n	nul	nul	nul	1	s	non	sbj	1	1
HUJ01001	taś	стадо	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
HUJ01002	taś ɔłŋ -əł	начало 3SG	i	sbj	s	1	3s	oth	nul	nul	nul	0	s	non	atr	0	0
HUJ01003	śorəs -əŋ taś	тысяча ATTR стадо	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
HUJ01004	ɔłŋ -əł	конец 3SG	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	atr	0	0
HUJ01005	sɔt -əŋ taś 	сто ATTR стадо 	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
